"Time (UTCG)","Power (W)","Solar Intensity"
1 Jul 2024 00:32:30.000,5.385,1.000000
1 Jul 2024 00:32:40.000,2.578,1.000000
1 Jul 2024 00:32:50.000,8.046,1.000000
1 Jul 2024 00:33:00.000,8.223,1.000000
1 Jul 2024 00:33:10.000,8.993,1.000000
1 Jul 2024 00:33:20.000,4.673,1.000000
1 Jul 2024 00:33:30.000,3.752,1.000000
1 Jul 2024 00:33:40.000,9.010,1.000000
1 Jul 2024 00:33:50.000,7.087,1.000000
1 Jul 2024 00:34:00.000,8.421,1.000000
1 Jul 2024 00:34:10.000,3.765,1.000000
1 Jul 2024 00:34:20.000,4.948,1.000000
1 Jul 2024 00:34:30.000,9.714,1.000000
1 Jul 2024 00:34:40.000,7.442,1.000000
1 Jul 2024 00:34:50.000,7.481,1.000000
1 Jul 2024 00:35:00.000,2.723,1.000000
1 Jul 2024 00:35:10.000,5.922,1.000000
1 Jul 2024 00:35:20.000,10.055,1.000000
1 Jul 2024 00:35:30.000,8.307,1.000000
1 Jul 2024 00:35:40.000,6.615,1.000000
1 Jul 2024 00:35:50.000,1.652,1.000000
1 Jul 2024 00:36:00.000,6.671,1.000000
1 Jul 2024 00:36:10.000,10.135,1.000000
1 Jul 2024 00:36:20.000,8.885,1.000000
1 Jul 2024 00:36:30.000,6.469,1.000000
1 Jul 2024 00:36:40.000,0.573,1.000000
1 Jul 2024 00:36:50.000,7.184,1.000000
1 Jul 2024 00:37:00.000,9.846,1.000000
1 Jul 2024 00:37:10.000,9.279,1.000000
1 Jul 2024 00:37:20.000,6.067,1.000000
1 Jul 2024 00:37:30.000,1.069,1.000000
1 Jul 2024 00:37:40.000,7.569,1.000000
1 Jul 2024 00:37:50.000,9.260,1.000000
1 Jul 2024 00:38:00.000,9.342,1.000000
1 Jul 2024 00:38:10.000,5.509,1.000000
1 Jul 2024 00:38:20.000,2.351,1.000000
1 Jul 2024 00:38:30.000,7.841,1.000000
1 Jul 2024 00:38:40.000,8.365,1.000000
1 Jul 2024 00:38:50.000,9.002,1.000000
1 Jul 2024 00:39:00.000,4.756,1.000000
1 Jul 2024 00:39:10.000,3.645,1.000000
1 Jul 2024 00:39:20.000,8.879,1.000000
1 Jul 2024 00:39:30.000,7.190,1.000000
1 Jul 2024 00:39:40.000,8.449,1.000000
1 Jul 2024 00:39:50.000,3.902,1.000000
1 Jul 2024 00:40:00.000,4.791,1.000000
1 Jul 2024 00:40:10.000,9.599,1.000000
1 Jul 2024 00:40:20.000,7.317,1.000000
1 Jul 2024 00:40:30.000,7.683,1.000000
1 Jul 2024 00:40:40.000,2.914,1.000000
1 Jul 2024 00:40:50.000,5.773,1.000000
1 Jul 2024 00:41:00.000,10.079,1.000000
1 Jul 2024 00:41:10.000,8.243,1.000000
1 Jul 2024 00:41:20.000,6.514,1.000000
1 Jul 2024 00:41:30.000,1.797,1.000000
1 Jul 2024 00:41:40.000,6.586,1.000000
1 Jul 2024 00:41:50.000,10.153,1.000000
1 Jul 2024 00:42:00.000,8.920,1.000000
1 Jul 2024 00:42:10.000,6.483,1.000000
1 Jul 2024 00:42:20.000,0.722,1.000000
1 Jul 2024 00:42:30.000,7.106,1.000000
1 Jul 2024 00:42:40.000,9.931,1.000000
1 Jul 2024 00:42:50.000,9.273,1.000000
1 Jul 2024 00:43:00.000,6.135,1.000000
1 Jul 2024 00:43:10.000,0.896,1.000000
1 Jul 2024 00:43:20.000,7.503,1.000000
1 Jul 2024 00:43:30.000,9.370,1.000000
1 Jul 2024 00:43:40.000,9.343,1.000000
1 Jul 2024 00:43:50.000,5.585,1.000000
1 Jul 2024 00:44:00.000,2.214,1.000000
1 Jul 2024 00:44:10.000,7.738,1.000000
1 Jul 2024 00:44:20.000,8.476,1.000000
1 Jul 2024 00:44:30.000,9.141,1.000000
1 Jul 2024 00:44:40.000,4.886,1.000000
1 Jul 2024 00:44:50.000,3.480,1.000000
1 Jul 2024 00:45:00.000,8.741,1.000000
1 Jul 2024 00:45:10.000,7.350,1.000000
1 Jul 2024 00:45:20.000,8.633,1.000000
1 Jul 2024 00:45:30.000,4.041,1.000000
1 Jul 2024 00:45:40.000,4.629,1.000000
1 Jul 2024 00:45:50.000,9.585,1.000000
1 Jul 2024 00:46:00.000,7.156,1.000000
1 Jul 2024 00:46:10.000,7.793,1.000000
1 Jul 2024 00:46:20.000,3.057,1.000000
1 Jul 2024 00:46:30.000,5.621,1.000000
1 Jul 2024 00:46:40.000,10.058,1.000000
1 Jul 2024 00:46:50.000,8.143,1.000000
1 Jul 2024 00:47:00.000,6.708,1.000000
1 Jul 2024 00:47:10.000,1.944,1.000000
1 Jul 2024 00:47:20.000,4.639,0.713637
1 Jul 2024 00:47:30.000,0.000,0.000000
1 Jul 2024 00:47:40.000,0.000,0.000000
1 Jul 2024 00:47:50.000,0.000,0.000000
1 Jul 2024 00:48:00.000,0.000,0.000000
1 Jul 2024 00:48:10.000,0.000,0.000000
1 Jul 2024 00:48:20.000,0.000,0.000000
1 Jul 2024 00:48:30.000,0.000,0.000000
1 Jul 2024 00:48:40.000,0.000,0.000000
1 Jul 2024 00:48:50.000,0.000,0.000000
1 Jul 2024 00:49:00.000,0.000,0.000000
1 Jul 2024 00:49:10.000,0.000,0.000000
1 Jul 2024 00:49:20.000,0.000,0.000000
1 Jul 2024 00:49:30.000,0.000,0.000000
1 Jul 2024 00:49:40.000,0.000,0.000000
1 Jul 2024 00:49:50.000,0.000,0.000000
1 Jul 2024 00:50:00.000,0.000,0.000000
1 Jul 2024 00:50:10.000,0.000,0.000000
1 Jul 2024 00:50:20.000,0.000,0.000000
1 Jul 2024 00:50:30.000,0.000,0.000000
1 Jul 2024 00:50:40.000,0.000,0.000000
1 Jul 2024 00:50:50.000,0.000,0.000000
1 Jul 2024 00:51:00.000,0.000,0.000000
1 Jul 2024 00:51:10.000,0.000,0.000000
1 Jul 2024 00:51:20.000,0.000,0.000000
1 Jul 2024 00:51:30.000,0.000,0.000000
1 Jul 2024 00:51:40.000,0.000,0.000000
1 Jul 2024 00:51:50.000,0.000,0.000000
1 Jul 2024 00:52:00.000,0.000,0.000000
1 Jul 2024 00:52:10.000,0.000,0.000000
1 Jul 2024 00:52:20.000,0.000,0.000000
1 Jul 2024 00:52:30.000,0.000,0.000000
1 Jul 2024 00:52:40.000,0.000,0.000000
1 Jul 2024 00:52:50.000,0.000,0.000000
1 Jul 2024 00:53:00.000,0.000,0.000000
1 Jul 2024 00:53:10.000,0.000,0.000000
1 Jul 2024 00:53:20.000,0.000,0.000000
1 Jul 2024 00:53:30.000,0.000,0.000000
1 Jul 2024 00:53:40.000,0.000,0.000000
1 Jul 2024 00:53:50.000,0.000,0.000000
1 Jul 2024 00:54:00.000,0.000,0.000000
1 Jul 2024 00:54:10.000,0.000,0.000000
1 Jul 2024 00:54:20.000,0.000,0.000000
1 Jul 2024 00:54:30.000,0.000,0.000000
1 Jul 2024 00:54:40.000,0.000,0.000000
1 Jul 2024 00:54:50.000,0.000,0.000000
1 Jul 2024 00:55:00.000,0.000,0.000000
1 Jul 2024 00:55:10.000,0.000,0.000000
1 Jul 2024 00:55:20.000,0.000,0.000000
1 Jul 2024 00:55:30.000,0.000,0.000000
1 Jul 2024 00:55:40.000,0.000,0.000000
1 Jul 2024 00:55:50.000,0.000,0.000000
1 Jul 2024 00:56:00.000,0.000,0.000000
1 Jul 2024 00:56:10.000,0.000,0.000000
1 Jul 2024 00:56:20.000,0.000,0.000000
