"Time (UTCG)","Effective Area (m^2)","Solar Intensity"
1 Jul 2024 00:25:30.000,0.008166,1.000000
1 Jul 2024 00:25:40.000,0.015855,1.000000
1 Jul 2024 00:25:50.000,0.022388,1.000000
1 Jul 2024 00:26:00.000,0.022331,1.000000
1 Jul 2024 00:26:10.000,0.010803,1.000000
1 Jul 2024 00:26:20.000,0.006974,1.000000
1 Jul 2024 00:26:30.000,0.011406,1.000000
1 Jul 2024 00:26:40.000,0.007551,1.000000
1 Jul 2024 00:26:50.000,0.002576,1.000000
1 Jul 2024 00:27:00.000,0.012009,1.000000
1 Jul 2024 00:27:10.000,0.017585,1.000000
1 Jul 2024 00:27:20.000,0.023908,1.000000
1 Jul 2024 00:27:30.000,0.018614,1.000000
1 Jul 2024 00:27:40.000,0.005913,1.000000
1 Jul 2024 00:27:50.000,0.009837,1.000000
1 Jul 2024 00:28:00.000,0.010753,1.000000
1 Jul 2024 00:28:10.000,0.003901,1.000000
1 Jul 2024 00:28:20.000,0.006800,1.000000
1 Jul 2024 00:28:30.000,0.015059,1.000000
1 Jul 2024 00:28:40.000,0.021472,1.000000
1 Jul 2024 00:28:50.000,0.023109,1.000000
1 Jul 2024 00:29:00.000,0.012991,1.000000
1 Jul 2024 00:29:10.000,0.006426,1.000000
1 Jul 2024 00:29:20.000,0.011279,1.000000
1 Jul 2024 00:29:30.000,0.008585,1.000000
1 Jul 2024 00:29:40.000,0.001179,1.000000
1 Jul 2024 00:29:50.000,0.010817,1.000000
1 Jul 2024 00:30:00.000,0.017145,1.000000
1 Jul 2024 00:30:10.000,0.023652,1.000000
1 Jul 2024 00:30:20.000,0.020067,1.000000
1 Jul 2024 00:30:30.000,0.006100,1.000000
1 Jul 2024 00:30:40.000,0.009025,1.000000
1 Jul 2024 00:30:50.000,0.011138,1.000000
1 Jul 2024 00:31:00.000,0.005206,1.000000
1 Jul 2024 00:31:10.000,0.005353,1.000000
1 Jul 2024 00:31:20.000,0.014142,1.000000
1 Jul 2024 00:31:30.000,0.020312,1.000000
1 Jul 2024 00:31:40.000,0.023609,1.000000
1 Jul 2024 00:31:50.000,0.015038,1.000000
1 Jul 2024 00:32:00.000,0.006446,1.000000
1 Jul 2024 00:32:10.000,0.010982,1.000000
1 Jul 2024 00:32:20.000,0.009466,1.000000
1 Jul 2024 00:32:30.000,0.000959,1.000000
1 Jul 2024 00:32:40.000,0.009512,1.000000
1 Jul 2024 00:32:50.000,0.016594,1.000000
1 Jul 2024 00:33:00.000,0.023170,1.000000
1 Jul 2024 00:33:10.000,0.021298,1.000000
1 Jul 2024 00:33:20.000,0.008486,1.000000
1 Jul 2024 00:33:30.000,0.008060,1.000000
1 Jul 2024 00:33:40.000,0.011362,1.000000
1 Jul 2024 00:33:50.000,0.006402,1.000000
1 Jul 2024 00:34:00.000,0.003972,1.000000
1 Jul 2024 00:34:10.000,0.013112,1.000000
1 Jul 2024 00:34:20.000,0.018933,1.000000
1 Jul 2024 00:34:30.000,0.023896,1.000000
1 Jul 2024 00:34:40.000,0.016908,1.000000
1 Jul 2024 00:34:50.000,0.006305,1.000000
1 Jul 2024 00:35:00.000,0.010497,1.000000
1 Jul 2024 00:35:10.000,0.010183,1.000000
1 Jul 2024 00:35:20.000,0.002475,1.000000
1 Jul 2024 00:35:30.000,0.008167,1.000000
1 Jul 2024 00:35:40.000,0.015853,1.000000
1 Jul 2024 00:35:50.000,0.022392,1.000000
1 Jul 2024 00:36:00.000,0.022327,1.000000
1 Jul 2024 00:36:10.000,0.010798,1.000000
1 Jul 2024 00:36:20.000,0.006975,1.000000
1 Jul 2024 00:36:30.000,0.011404,1.000000
1 Jul 2024 00:36:40.000,0.007551,1.000000
1 Jul 2024 00:36:50.000,0.002580,1.000000
1 Jul 2024 00:37:00.000,0.012012,1.000000
1 Jul 2024 00:37:10.000,0.017581,1.000000
1 Jul 2024 00:37:20.000,0.023908,1.000000
1 Jul 2024 00:37:30.000,0.018611,1.000000
1 Jul 2024 00:37:40.000,0.005916,1.000000
1 Jul 2024 00:37:50.000,0.009835,1.000000
1 Jul 2024 00:38:00.000,0.010751,1.000000
1 Jul 2024 00:38:10.000,0.003901,1.000000
1 Jul 2024 00:38:20.000,0.006800,1.000000
1 Jul 2024 00:38:30.000,0.015058,1.000000
1 Jul 2024 00:38:40.000,0.021482,1.000000
1 Jul 2024 00:38:50.000,0.023113,1.000000
1 Jul 2024 00:39:00.000,0.012989,1.000000
1 Jul 2024 00:39:10.000,0.006423,1.000000
1 Jul 2024 00:39:20.000,0.011278,1.000000
1 Jul 2024 00:39:30.000,0.008586,1.000000
1 Jul 2024 00:39:40.000,0.001184,1.000000
1 Jul 2024 00:39:50.000,0.010819,1.000000
1 Jul 2024 00:40:00.000,0.017145,1.000000
1 Jul 2024 00:40:10.000,0.023653,1.000000
1 Jul 2024 00:40:20.000,0.020067,1.000000
1 Jul 2024 00:40:30.000,0.006097,1.000000
1 Jul 2024 00:40:40.000,0.009028,1.000000
1 Jul 2024 00:40:50.000,0.011139,1.000000
1 Jul 2024 00:41:00.000,0.005207,1.000000
1 Jul 2024 00:41:10.000,0.005356,1.000000
1 Jul 2024 00:41:20.000,0.014146,1.000000
1 Jul 2024 00:41:30.000,0.020315,1.000000
1 Jul 2024 00:41:40.000,0.023606,1.000000
1 Jul 2024 00:41:50.000,0.015034,1.000000
1 Jul 2024 00:42:00.000,0.006446,1.000000
1 Jul 2024 00:42:10.000,0.010979,1.000000
1 Jul 2024 00:42:20.000,0.009466,1.000000
1 Jul 2024 00:42:30.000,0.000958,1.000000
1 Jul 2024 00:42:40.000,0.009512,1.000000
1 Jul 2024 00:42:50.000,0.016598,1.000000
1 Jul 2024 00:43:00.000,0.023167,1.000000
1 Jul 2024 00:43:10.000,0.021297,1.000000
1 Jul 2024 00:43:20.000,0.008484,1.000000
1 Jul 2024 00:43:30.000,0.008059,1.000000
1 Jul 2024 00:43:40.000,0.011360,1.000000
1 Jul 2024 00:43:50.000,0.006401,1.000000
1 Jul 2024 00:44:00.000,0.003975,1.000000
1 Jul 2024 00:44:10.000,0.013116,1.000000
1 Jul 2024 00:44:20.000,0.018936,1.000000
1 Jul 2024 00:44:30.000,0.023896,1.000000
1 Jul 2024 00:44:40.000,0.016905,1.000000
1 Jul 2024 00:44:50.000,0.006301,1.000000
1 Jul 2024 00:45:00.000,0.010498,1.000000
1 Jul 2024 00:45:10.000,0.010181,1.000000
1 Jul 2024 00:45:20.000,0.002469,1.000000
1 Jul 2024 00:45:30.000,0.008173,1.000000
1 Jul 2024 00:45:40.000,0.015850,1.000000
1 Jul 2024 00:45:50.000,0.022394,1.000000
1 Jul 2024 00:46:00.000,0.022328,1.000000
1 Jul 2024 00:46:10.000,0.010795,1.000000
